,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1527,42718,42718,57.0016,92.5139,"[62, 71]",15300549,54.5,18296040,45.6,19198908,71.5
1,1,0.1,0.05,1019,64472,64472,45.1642,84.8793,"[61, 71]",15296452,54.5,18276624,45.6,19174392,71.5
2,2,0.1,0.05,849,72008,72008,71.9146,97.2607,"[60, 70]",15288258,54.5,18223328,45.8,19107248,71.6
3,3,0.1,0.05,738,75704,75704,72.9727,95896,"[59, 69]",15280064,54.6,18170064,46.0,19040152,71.7
4,4,0.1,0.05,681,77776,77776,69.3038,96.8058,"[57, 68]",15267773,54.6,18097480,46.2,18948684,71.8
5,5,0.1,0.05,619,79892,79892,72.1618,96.7069,"[57, 68]",15267773,54.6,18097480,46.2,18948684,71.8
6,6,0.1,0.05,578,81056,81056,76.8394,97.6859,"[54, 67]",15251385,54.6,18005672,46.5,18832988,72.0
7,7,0.1,0.05,554,82038,82038,78.8766,98.1211,"[50, 64]",15222706,54.7,17827168,47.0,18608240,72.3
8,8,0.1,0.05,521,83168,83168,80.4786,98.8925,"[46, 61]",15194027,54.8,17649064,47.5,18384092,72.7
9,9,0.1,0.05,0.5,83836,83836,73.3287,97.8837,"[38, 55]",15136669,55.0,17294056,48.6,17937596,73.3
10,10,0.1,0.05,483,84328,84328,76.8889,97.9628,"[34, 51]",15103893,55.1,17083560,49.2,17673052,73.7
11,11,0.1,0.05,471,84726,84726,79.4205,97.9431,"[25, 45]",15042438,55.3,16712208,50.3,17206648,74.4
12,12,0.1,0.05,462,85212,85212,73.8924,97.4684,"[21, 39]",15001468,55.4,16436368,51.1,16860472,74.9
13,13,0.1,0.05,447,85786,85786,82.3279,97.7749,"[14, 29]",14931819,55.6,15972264,52.5,16278492,75.8
14,14,0.1,0.05,449,85698,85698,81.1313,98.2397,"[8, 18]",14862170,55.8,15496032,53.9,15681904,76.7
15,15,0.1,0.05,436,86002,86002,80.2215,97.32,"[6, 12]",14829394,55.9,15260896,54.6,15387568,77.1
16,16,0.1,0.05,435,86176,86176,75.0,96964,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
17,17,0.1,0.05,0.43,86446,86446,82.5949,97.8936,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
18,18,0.1,0.05,257,92084,92084,90.3778,99.5353,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
19,19,0.1,0.05,211,93478,93478,90.8129,99.5353,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
20,20,0.1,0.05,0.19,94046,94046,91.1096,99.5847,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
21,21,0.1,0.05,174,94572,94572,91.1096,99.6144,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
22,22,0.1,0.05,159,95.18,95.18,91.4458,99.4759,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
23,23,0.1,0.05,153,95294,95294,91.1491,99.5649,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
24,24,0.1,0.05,143,95668,95668,91.5051,99.5451,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
25,25,0.1,0.05,135,95796,95796,91.2974,99.5353,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
26,26,0.1,0.05,124,96248,96248,91.5051,99.6836,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
27,27,0.1,0.05,118,96.44,96.44,91.1788,99.5452,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
28,28,0.1,0.05,112,96646,96646,91426,99.5353,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
29,29,0.1,0.05,91,97336,97336,91.9996,99.6144,"[6, 6]",14804812,56.0,15063424,55.2,15140512,77.5
0,0,0.1,0.05,82,97.6527,99.9261,92.0985,99.5748,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
1,1,0.1,0.05,82,97.5843,99.9381,91.9106,99.5946,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
2,2,0.1,0.05,0.08,97703,99.9341,91.9699,99.5847,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
3,3,0.1,0.05,0.08,97.6994,99.9141,91871,99.5649,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
4,4,0.1,0.05,84,97.5607,99.9361,92049,99.5847,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
5,5,0.1,0.05,82,97659,99.9221,91.9007,99.5254,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
6,6,0.1,0.05,0.08,97.6942,99.9381,91.9798,99.5649,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
7,7,0.1,0.05,78,97.7366,99.9301,91.9403,99.6045,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
8,8,0.1,0.05,83,97.6299,99.9381,92.0589,99.5649,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
9,9,0.1,0.05,82,97.6746,99.9361,92.0095,99.5847,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
10,10,0.1,0.05,0.08,97.6794,99.9261,91.96,99555,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
11,11,0.1,0.05,83,97.6483,99.9101,91.9699,99.5649,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
12,12,0.1,0.05,83,97.5683,99.9281,91.9007,99.5451,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
13,13,0.1,0.05,79,97.7218,99.9341,91.9996,99.5353,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
14,14,0.1,0.05,82,97.6559,99.9221,91.9699,99.5847,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
15,15,0.1,0.05,84,97.5931,99.9241,91.8908,99.5451,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
16,16,0.1,0.05,82,97.6566,99.9201,91.9106,99555,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
17,17,0.1,0.05,82,97.6283,99.9201,91.9798,99.5451,"[6, 6]",14804812,56.0,15063208,55.2,15140080,77.5
